last_name, first_name,pitcher,ff_avg_speed,last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Robles, Hansel,570663,96.7,Robles, Hansel,570663,BOS,FF,4-Seamer,0.4,3,653,55.1,167,0.243,0.45,0.362,22.4,26.3,19.2,0.238,0.458,0.357,59.8
Rodón, Carlos,607074,95.4,Rodón, Carlos,607074,CWS,FF,4-Seamer,-2,-26,1302,58.7,301,0.199,0.336,0.278,29.7,29.9,25.4,0.205,0.369,0.282,40
Rodriguez, Eduardo,593958,92.6,Rodriguez, Eduardo,593958,BOS,FF,4-Seamer,0.3,3,1085,39.9,197,0.297,0.491,0.373,31.3,32.5,20.9,0.231,0.384,0.307,33.6
Rogers, Trevor,669432,94.5,Rogers, Trevor,669432,MIA,FF,4-Seamer,-1.2,-15,1251,57.7,325,0.222,0.344,0.306,26.8,30.5,26.1,0.219,0.362,0.306,40.2
Rogers, Tyler,643511,82.7,Rogers, Tyler,643511,SF,FF,4-Seamer,-0.4,-3,599,53.1,171,0.342,0.422,0.378,11.4,6.4,12.6,0.305,0.377,0.324,40
Ross, Joe,605452,93.6,Ross, Joe,605452,WSH,FF,4-Seamer,2.5,7,272,16,57,0.22,0.46,0.337,37.7,40.4,18.5,0.197,0.377,0.298,33.3
Ryu, Hyun Jin,547943,89.9,Ryu, Hyun Jin,547943,TOR,FF,4-Seamer,-0.1,-1,947,35.2,204,0.27,0.497,0.356,18.4,19.1,19.3,0.276,0.513,0.363,58.4
Sandoval, Patrick,663776,93.2,Sandoval, Patrick,663776,LAA,FF,4-Seamer,0,0,352,24.4,83,0.282,0.451,0.378,17.6,9.6,11.1,0.282,0.483,0.38,34.4
Scherzer, Max,453286,94.3,Scherzer, Max,453286,LAD,FF,4-Seamer,-1.4,-18,1316,46.7,299,0.193,0.359,0.281,30.7,31.1,26.2,0.202,0.385,0.287,40.8
Senzatela, Antonio,622608,94.6,Senzatela, Antonio,622608,COL,FF,4-Seamer,-0.3,-4,1311,54.5,352,0.295,0.394,0.327,13.8,10.8,12.3,0.297,0.424,0.332,41.5
Sheffield, Justus,656954,93.5,Sheffield, Jordan,642068,COL,FF,4-Seamer,-1,-3,294,64.5,76,0.177,0.29,0.284,16,11.8,14.1,0.236,0.415,0.349,42.6
Skubal, Tarik,669373,94.3,Skubal, Tarik,669373,DET,FF,4-Seamer,0.8,9,1090,42.8,283,0.291,0.611,0.42,24,24.7,19.2,0.306,0.626,0.43,52.5
Smith, Caleb,592761,91.4,Smith, Caleb,592761,ARI,FF,4-Seamer,0.4,4,995,48.1,226,0.234,0.446,0.366,21.7,21.2,18.1,0.233,0.451,0.362,36.5
Snell, Blake,605483,95.1,Snell, Blake,605483,SD,FF,4-Seamer,-0.8,-10,1232,52.5,289,0.213,0.406,0.328,21.4,26,23.1,0.248,0.501,0.37,44.5
Stratton, Chris,608717,93,Stratton, Chris,608717,PIT,FF,4-Seamer,-1,-6,662,48.2,162,0.246,0.394,0.328,21.9,23.5,17.8,0.234,0.43,0.328,42.9
Stripling, Ross,548389,91.9,Stripling, Ross,548389,TOR,FF,4-Seamer,0.5,4,859,50.9,209,0.263,0.579,0.389,22.3,23.9,20.4,0.272,0.581,0.384,48.6
Stroman, Marcus,573186,92.4,Stroman, Marcus,573186,NYM,FF,4-Seamer,-1.1,-1,69,2.5,15,0.286,0.357,0.31,37.8,33.3,16.1,0.336,0.603,0.417,44.4
Suarez, José,660761,92.9,Suarez, José,660761,LAA,FF,4-Seamer,0.4,2,652,39.5,149,0.292,0.546,0.388,18.3,16.8,13.9,0.321,0.53,0.404,42.5
Suárez, Ranger,624133,93.7,Suárez, Ranger,624133,PHI,FF,4-Seamer,-2.4,-9,365,22.6,84,0.173,0.213,0.238,22.8,14.3,11.7,0.21,0.284,0.266,27
Suter, Brent,608718,87.3,Suter, Brent,608718,MIL,FF,4-Seamer,-1,-9,885,72.5,240,0.256,0.395,0.322,20.3,23.3,21.5,0.245,0.384,0.297,36.1
Taillon, Jameson,592791,93.9,Taillon, Jameson,592791,NYY,FF,4-Seamer,-0.5,-6,1175,49.5,306,0.199,0.399,0.296,28,28.8,21.6,0.202,0.404,0.294,46.9
Thompson, Zach,605507,92.2,Thompson, Zach,605507,MIA,FF,4-Seamer,1.7,6,323,27.1,89,0.301,0.589,0.474,25.2,16.9,14.3,0.257,0.508,0.39,39.7
Trivino, Lou,642152,95.6,Trivino, Lou,642152,OAK,FF,4-Seamer,-2.2,-7,311,26.4,99,0.171,0.293,0.277,28.5,31.3,22.6,0.215,0.417,0.337,36.5
Underwood Jr., Duane,621249,94.1,Underwood Jr., Duane,621249,PIT,FF,4-Seamer,0.4,2,425,36.1,110,0.25,0.38,0.346,16.6,13.6,13,0.275,0.468,0.367,40
Ureña, José,570632,94.3,Ureña, José,570632,DET,FF,4-Seamer,1.4,4,273,16.1,52,0.302,0.581,0.446,12.9,3.8,6.1,0.36,0.776,0.512,56.1
Urías, Julio,628711,94.1,Urías, Julio,628711,LAD,FF,4-Seamer,0.1,1,1325,47.6,347,0.276,0.483,0.354,21.3,23.6,20,0.252,0.462,0.332,38.1
Urquidy, José,664353,92.5,Urquidy, José,664353,HOU,FF,4-Seamer,-1.1,-10,896,54.9,227,0.237,0.423,0.298,19.8,16.7,15.7,0.264,0.493,0.334,40.8
Valdez, Framber,664285,92.1,Valdez, Framber,664285,HOU,FF,4-Seamer,2,2,105,5,36,0.35,0.6,0.536,10.3,8.3,20,0.257,0.453,0.478,64.7
Velasquez, Vince,592826,93.2,Velasquez, Vince,592826,SD,FF,4-Seamer,0.9,7,874,49.9,197,0.222,0.581,0.394,26.5,27.9,20.8,0.213,0.505,0.356,48.7
Wacha, Michael,608379,93.8,Wacha, Michael,608379,TB,FF,4-Seamer,-0.3,-2,713,36.1,178,0.238,0.494,0.332,18.3,21.9,18.6,0.31,0.627,0.413,55.1
Wainwright, Adam,425794,89,Wainwright, Adam,425794,STL,FF,4-Seamer,2.3,7,290,9.5,75,0.257,0.5,0.345,12.1,30.7,16.8,0.262,0.483,0.34,57.4
Walker, Taijuan,592836,94.5,Walker, Taijuan,592836,NYM,FF,4-Seamer,0.2,2,903,35.5,234,0.221,0.469,0.325,24.3,29.1,21.1,0.229,0.478,0.327,47.3
Weathers, Ryan,677960,94,Weathers, Ryan,677960,SD,FF,4-Seamer,1.2,8,696,43,165,0.34,0.641,0.438,17.8,18.2,16.9,0.298,0.554,0.38,50.4
Webb, Logan,657277,93.2,Webb, Logan,657277,SF,FF,4-Seamer,0.9,2,218,9.8,44,0.257,0.314,0.335,21,27.3,15.8,0.23,0.313,0.321,41.7
Wheeler, Zack,554430,97.2,Wheeler, Zack,554430,PHI,FF,4-Seamer,-1,-14,1365,42.6,341,0.226,0.318,0.28,26,33.1,24.1,0.215,0.315,0.272,32.7
Whitlock, Garrett,676477,96.3,Whitlock, Garrett,676477,BOS,FF,4-Seamer,-3.4,-4,109,9.5,36,0.061,0.242,0.169,37.9,50,31,0.116,0.272,0.207,40
Widener, Taylor,642203,92.6,Widener, Taylor,642203,ARI,FF,4-Seamer,0.3,2,809,66.5,202,0.259,0.494,0.388,20.2,19.8,20,0.275,0.539,0.396,50.4
Williams, Trevor,592866,91.5,Williams, Trevor,592866,NYM,FF,4-Seamer,-0.7,-5,743,48.3,219,0.274,0.442,0.362,19.2,22.8,20.8,0.253,0.418,0.335,35.7
Wilson, Bryse,669060,93,Wilson, Bryse,669060,PIT,FF,4-Seamer,0.9,4,505,44.5,134,0.317,0.558,0.399,23.7,14.9,16,0.297,0.559,0.391,45.2
Woodford, Jake,663765,92.1,Woodford, Jake,663765,STL,FF,4-Seamer,1.4,4,258,22.3,63,0.25,0.385,0.314,16.4,17.5,11,0.246,0.344,0.302,47.7
Woodruff, Brandon,605540,96.5,Woodruff, Brandon,605540,MIL,FF,4-Seamer,-0.9,-8,947,33.7,260,0.19,0.328,0.271,30.5,43.5,25.6,0.212,0.349,0.284,33.6
Ynoa, Huascar,660623,96.5,Ynoa, Huascar,660623,ATL,FF,4-Seamer,0,0,662,44.7,172,0.25,0.533,0.365,14.2,14.5,15.2,0.305,0.579,0.404,55.8
