last_name, first_name,pitcher,ff_avg_speed,last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Cueto, Johnny,456501,91.8,Cueto, Johnny,456501,SF,FF,4-Seamer,-1.4,-10,674,35.9,161,0.221,0.345,0.284,28.2,32.3,18.1,0.215,0.39,0.297,43.6
Darvish, Yu,506433,94.5,Darvish, Yu,506433,SD,FF,4-Seamer,0,0,611,22.1,127,0.153,0.407,0.27,34.5,43.3,26.2,0.149,0.352,0.242,42.9
deGrom, Jacob,594798,99.2,deGrom, Jacob,594798,NYM,FF,4-Seamer,-2,-14,704,57.4,175,0.158,0.303,0.224,30,35.4,38,0.17,0.312,0.232,40.4
DeSclafani, Anthony,543101,94.1,DeSclafani, Anthony,543101,SF,FF,4-Seamer,-0.6,-4,692,27.1,149,0.25,0.432,0.327,22.7,15.4,13.1,0.245,0.461,0.333,42.5
Eflin, Zach,621107,93.1,Eflin, Zach,621107,PHI,FF,4-Seamer,-0.4,-1,200,12.4,43,0.263,0.421,0.341,31.5,25.6,17.7,0.221,0.325,0.289,37
Eovaldi, Nathan,543135,96.8,Eovaldi, Nathan,543135,BOS,FF,4-Seamer,-0.2,-2,1237,42.3,282,0.312,0.468,0.36,19.4,22,18.7,0.265,0.401,0.314,38.9
Espino, Paolo,502179,89,Espino, Paolo,502179,WSH,FF,4-Seamer,0.4,4,958,55.2,243,0.289,0.524,0.369,11.8,14.4,14.2,0.289,0.539,0.364,49.7
Flaherty, Jack,656427,93.6,Flaherty, Jack,656427,STL,FF,4-Seamer,-0.8,-6,684,50.6,166,0.193,0.379,0.307,17.1,22.9,17.3,0.26,0.485,0.357,44.5
Flexen, Chris,623167,92.7,Flexen, Chris,623167,SEA,FF,4-Seamer,-0.7,-8,1124,40,257,0.273,0.459,0.344,18,23,17.4,0.244,0.463,0.333,43.1
Foltynewicz, Mike,592314,93.8,Foltynewicz, Mike,592314,TEX,FF,4-Seamer,0.5,3,656,29.3,163,0.287,0.62,0.396,11.2,9.2,8.6,0.321,0.649,0.427,52.6
Freeland, Kyle,607536,91.4,Freeland, Kyle,607536,COL,FF,4-Seamer,-1.1,-5,471,25,114,0.286,0.429,0.333,13.6,7,10.4,0.265,0.428,0.32,30.3
Fried, Max,608331,94,Fried, Max,608331,ATL,FF,4-Seamer,-1.1,-11,998,39,294,0.264,0.4,0.322,16.4,14.3,15.8,0.273,0.395,0.321,38.2
Fulmer, Michael,605242,95.5,Fulmer, Michael,605242,DET,FF,4-Seamer,-1,-2,205,17.3,40,0.2,0.457,0.326,30.3,27.5,16.9,0.265,0.559,0.388,41.7
Funkhouser, Kyle,608335,95.8,Funkhouser, Kyle,608335,DET,FF,4-Seamer,-2,-5,259,21.8,76,0.149,0.194,0.206,26.5,36.8,20.9,0.17,0.263,0.236,42.5
Gallegos, Giovanny,606149,94.4,Gallegos, Giovanny,606149,STL,FF,4-Seamer,-1.7,-11,653,52.8,168,0.201,0.315,0.264,25.2,28.6,22.2,0.223,0.363,0.291,46.2
Gallen, Zac,668678,93.4,Gallen, Zac,668678,ARI,FF,4-Seamer,-1,-11,1127,53.6,271,0.218,0.368,0.316,15.4,25.5,21.6,0.234,0.388,0.316,47.4
Gant, John,607231,92,Gant, John,607231,MIN,FF,4-Seamer,1.7,4,240,12.2,56,0.271,0.458,0.318,22,32.1,16.8,0.179,0.275,0.252,28.1
Garcia, Luis,677651,93.3,Garcia, Luis,677651,HOU,FF,4-Seamer,-0.2,-3,1118,44.7,299,0.301,0.488,0.384,19.1,16.4,17.2,0.298,0.507,0.389,50.2
Gausman, Kevin,592332,94.6,Gausman, Kevin,592332,SF,FF,4-Seamer,-0.6,-10,1583,52.7,421,0.257,0.416,0.335,19.5,19.2,19.5,0.278,0.485,0.352,44.8
Germán, Domingo,593334,93.4,Germán, Domingo,593334,NYY,FF,4-Seamer,1.7,8,454,28.8,110,0.29,0.65,0.429,22.4,18.2,16,0.282,0.605,0.4,55
Gibson, Kyle,502043,92.8,Gibson, Kyle,502043,PHI,FF,4-Seamer,0.4,1,366,12.7,89,0.292,0.375,0.362,10.5,10.1,11.4,0.282,0.429,0.376,26.6
Gilbert, Logan,669302,95.3,Gilbert, Logan,669302,SEA,FF,4-Seamer,-1.5,-19,1307,61.5,324,0.254,0.401,0.311,21.6,21.9,17.7,0.258,0.438,0.323,50.6
Giolito, Lucas,608337,93.8,Giolito, Lucas,608337,CWS,FF,4-Seamer,0,0,1303,43.9,270,0.251,0.427,0.339,25.6,22.2,17.2,0.255,0.45,0.342,42.8
Glasnow, Tyler,607192,97,Glasnow, Tyler,607192,TB,FF,4-Seamer,-1.5,-10,691,51.6,181,0.197,0.338,0.293,27.8,26,25.1,0.215,0.365,0.306,50
Gomber, Austin,596295,91.6,Gomber, Austin,596295,COL,FF,4-Seamer,0.5,4,753,40.7,190,0.299,0.567,0.419,13.9,11.6,15.7,0.312,0.572,0.41,40
Gonzales, Marco,594835,88.1,Gonzales, Marco,594835,SEA,FF,4-Seamer,-1.6,-2,116,5,24,0.158,0.316,0.287,15.2,8.3,8.7,0.355,0.644,0.471,44.4
González, Chi Chi,592346,91.9,González, Chi Chi,592346,COL,FF,4-Seamer,1.5,12,758,46.4,199,0.328,0.531,0.401,14.6,13.1,13.2,0.314,0.54,0.393,44.8
Gray, Jon,592351,94.9,Gray, Jon,592351,COL,FF,4-Seamer,1.3,15,1208,47.6,309,0.331,0.518,0.404,17.1,15.9,16.1,0.292,0.461,0.363,44.2
Gray, Josiah,680686,94.6,Gray, Josiah,680686,WSH,FF,4-Seamer,1.2,8,626,51.6,172,0.282,0.62,0.423,17.8,14.5,15.2,0.27,0.606,0.409,41.5
Gray, Sonny,543243,92.3,Gray, Sonny,543243,CIN,FF,4-Seamer,0,0,530,23.8,132,0.281,0.465,0.38,17,9.1,16.4,0.284,0.4,0.345,30.8
